"Grade","Profissional_Grade","Unidade_Funcional","Condicao_De_Atendimento","Especialidade","Situacao_Atual_Grade","Dia_da_Semana","Hora_Inicio","Turno","Situacao_Atual_Horario","Quantidade_Vagas"
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,20
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),CONSULTA PRIMEIRA VEZ SERVIDOR(A),UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,2
12,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,15
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),CONSULTA PRIMEIRA VEZ SERVIDOR(A),UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
13,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA NEURO,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
14,F. D. O. V. ,UROLOGIA (AMBULATÓRIO),,UROLOGIA,Ativo,,,,,
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),TELEATENDIMENTO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),CONSULTA REGULADA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,5
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,50
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,50
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
16,P. D. C. C. N. ,UROLOGIA (AMBULATÓRIO),CONSULTA PRIMEIRA VEZ SERVIDOR(A),UROLOGIA,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
17,T. D. P. B. J. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,15
34,E. V. F. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Inativo,20
34,E. V. F. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,3
34,E. V. F. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Inativo,5
34,E. V. F. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Inativo,12
36,M. W. D. S. J. ,UROLOGIA (AMBULATÓRIO),INTERCONSULTA,UROLOGIA,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,4
36,M. W. D. S. J. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,20
37,L. H. C. S. D. M. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Ativo,Terça,1970-01-01 13:00:00.000,Tarde,Ativo,20
38,M. C. D. A. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA ONCO,Ativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
40,E. M. L. ,CIRURGIA VASCULAR (AMBULATÓRIO),INTERCONSULTA,CIRURGIA VASCULAR,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
40,E. M. L. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,8
40,E. M. L. ,CIRURGIA VASCULAR (AMBULATÓRIO),CONSULTA REGULADA,CIRURGIA VASCULAR,Ativo,Quinta,1970-01-01 10:00:00.000,Manhã,Ativo,8
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,2
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,2
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,2
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,2
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,2
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,5
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,4
41,R. M. D. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,2
44,A. L. D. S. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DOENÇAS INFECTO PARASITARIAS,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,1
44,A. L. D. S. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DOENÇAS INFECTO PARASITARIAS,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,6
45,A. L. D. S. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DOENÇAS INFECTO PARASITARIAS,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,6
45,A. L. D. S. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DOENÇAS INFECTO PARASITARIAS,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
46,L. C. M. F. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,1
46,L. C. M. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,7
46,L. C. M. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,7
46,L. C. M. F. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
47,L. C. R. V. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Inativo,5
47,L. C. R. V. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ESPECIAL,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Inativo,1
48,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Segunda,1970-01-01 15:30:00.000,Tarde,Ativo,1
48,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,1
48,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,6
49,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,6
49,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,1
49,C. E. G. P. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 15:30:00.000,Tarde,Ativo,1
50,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Terça,1970-01-01 13:00:00.000,Tarde,Ativo,6
50,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Terça,1970-01-01 13:00:00.000,Tarde,Ativo,1
50,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Terça,1970-01-01 15:30:00.000,Tarde,Ativo,1
51,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 10:00:00.000,Manhã,Ativo,1
51,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,1
51,E. D. B. C. J. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,6
52,C. F. A. B. A. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,1
52,C. F. A. B. A. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,1
52,C. F. A. B. A. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,5
53,M. I. D. O. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Quarta,1970-01-01 13:00:00.000,Tarde,Ativo,6
53,M. I. D. O. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ESPECIAL,Ativo,Quarta,1970-01-01 13:00:00.000,Tarde,Ativo,1
53,M. I. D. O. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Quarta,1970-01-01 15:30:00.000,Tarde,Ativo,1
54,C. F. D. L. V. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,7
54,C. F. D. L. V. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Segunda,1970-01-01 15:30:00.000,Tarde,Ativo,1
54,C. F. D. L. V. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ESPECIAL,Ativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,5
54,C. F. D. L. V. ,INFECTOLOGIA (AMBULATÓRIO),CONSULTA REGULADA,DIP ESPECIAL,Ativo,Quinta,1970-01-01 10:00:00.000,Manhã,Ativo,1
56,M. C. D. A. N. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,5
56,M. C. D. A. N. ,UROLOGIA (AMBULATÓRIO),CONSULTA REGULADA,UROLOGIA,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,5
60,S. H. C. S. S. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP SERVIÇO SOCIAL,Ativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,2
60,S. H. C. S. S. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP SERVIÇO SOCIAL,Ativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,3
62,C. E. L. T. ,UROLOGIA (AMBULATÓRIO),,UROLOGIA,Ativo,,,,,
64,E. M. D. S. T. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR,Ativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,4
64,E. M. D. S. T. ,CIRURGIA VASCULAR (AMBULATÓRIO),INTERCONSULTA,CIRURGIA VASCULAR,Ativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,4
65,A. L. M. ,CIRURGIA VASCULAR (AMBULATÓRIO),CONSULTA REGULADA,CIRURGIA VASCULAR,Ativo,Segunda,1970-01-01 15:30:00.000,Tarde,Ativo,8
65,A. L. M. ,CIRURGIA VASCULAR (AMBULATÓRIO),INTERCONSULTA,CIRURGIA VASCULAR,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,1
65,A. L. M. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,8
68,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
68,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,20
68,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,20
68,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,10
68,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,20
69,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
69,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,20
69,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,20
69,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,20
69,R. M. D. S. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,20
71,A. C. D. M. B. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,50
71,A. C. D. M. B. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,50
82,C. R. M. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP PSICOLOGIA,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,7
84,S. R. G. D. C. P. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,50
86,R. D. M. R. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR,Ativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,3
88,R. M. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
88,R. M. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,3
88,R. M. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,5
88,R. M. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,URO ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,12
90,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Inativo,20
90,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,20
90,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,20
90,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Inativo,20
90,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Inativo,20
91,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Inativo,20
91,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,20
91,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,20
91,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Inativo,20
91,E. V. F. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Inativo,20
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Inativo,8
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Inativo,2
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 13:00:00.000,Tarde,Inativo,5
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 13:00:00.000,Tarde,Inativo,5
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Quarta,1970-01-01 13:00:00.000,Tarde,Inativo,2
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Inativo,2
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Inativo,8
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 13:00:00.000,Tarde,Inativo,5
92,E. V. F. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 13:00:00.000,Tarde,Inativo,5
94,A. V. G. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR,Ativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,4
94,A. V. G. ,CIRURGIA VASCULAR (AMBULATÓRIO),INTERCONSULTA,CIRURGIA VASCULAR,Ativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,4
96,M. W. D. S. J. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA PROCEDIMENTOS,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Inativo,5
98,T. D. P. B. J. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA PROCEDIMENTOS,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Inativo,5
99,C. A. D. S. ,UROLOGIA (AMBULATÓRIO),RETORNO,UROLOGIA PROCEDIMENTOS,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,8
100,C. C. D. A. ,CIRURGIA VASCULAR (AMBULATÓRIO),,CIRURGIA VASCULAR,Ativo,,,,,
101,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
101,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,20
101,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,20
101,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR CURATIVO,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,20
102,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Segunda,1970-01-01 07:00:00.000,Manhã,Ativo,20
102,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Terça,1970-01-01 07:00:00.000,Manhã,Ativo,20
102,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quarta,1970-01-01 07:00:00.000,Manhã,Ativo,20
102,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Quinta,1970-01-01 07:00:00.000,Manhã,Ativo,20
102,J. T. C. P. ,CIRURGIA VASCULAR (AMBULATÓRIO),RETORNO,CIRURGIA VASCULAR ENFERMAGEM,Inativo,Sexta,1970-01-01 07:00:00.000,Manhã,Ativo,20
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,8
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Segunda,1970-01-01 13:00:00.000,Tarde,Ativo,2
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 13:00:00.000,Tarde,Ativo,5
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Terça,1970-01-01 13:00:00.000,Tarde,Ativo,5
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),PRIMEIRA CONSULTA,DIP ENFERMAGEM,Inativo,Quarta,1970-01-01 13:00:00.000,Tarde,Ativo,2
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,2
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Quinta,1970-01-01 13:00:00.000,Tarde,Ativo,8
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),RETORNO,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 13:00:00.000,Tarde,Ativo,5
104,J. T. C. P. ,INFECTOLOGIA (AMBULATÓRIO),INTERCONSULTA,DIP ENFERMAGEM,Inativo,Sexta,1970-01-01 13:00:00.000,Tarde,Ativo,5
